Tanggal,Kategori,Fitur / Topik,Detail Perubahan
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Lokasi Gudang (`GudangResource`),Menambahkan pengaturan Radius (km) untuk toleransi jarak absensi.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Menggabungkan fungsionalitas `KaryawanResource` ke dalam `UserResource` untuk manajemen terpusat.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Menambahkan fitur Penugasan Gudang (`gudang_id`) untuk menetapkan lokasi kerja karyawan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),"Memperbaiki tombol ""Tambah Karyawan"" agar tampil inline di header halaman list."
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Fix Foto Profil: Memperbaiki masalah gambar tidak tampil saat edit dengan menambahkan `visibility('public')` dan logika ekstraksi path JSON yang robust.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Validasi Absensi Geofencing,Mengimplementasikan validasi lokasi ketat pada `AbsensiResource` menggunakan koordinat gudang yang ditugaskan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Validasi Absensi Geofencing,Menggunakan formula Haversine untuk perhitungan jarak akurat dan menolak absensi di luar radius gudang.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,Mengatasi masalah routing `MethodNotAllowedHttpException` pada login dengan pembersihan cache menyeluruh.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,Mengoptimalkan struktur navigasi dengan menyembunyikan resource karyawan yang redundan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,"Fix Navigasi Filament Shield: Memperbaiki menu Roles yang tersangkut di grup ""Master Data"". Masalah disebabkan oleh file terjemahan Indonesia (`resources/lang/vendor/filament-shield/id/filament-shield.php`) yang meng-override konfigurasi utama. Solusi: update file lang ke 'Pengaturan'."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Mengimplementasikan sistem input checklist bertingkat (Parent-Child). Jika item induk dicentang, sub-item akan muncul."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Memisahkan atribut menjadi 4 kategori tab: Crosscheck (Fisik), Aplikasi, Game, dan OS."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Menambahkan halaman manajemen master data terpusat ""Atribut Crosscheck"" di bawah menu Penerimaan Service."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Import Data Pelanggan,"Menambahkan fitur ""Import dari Nota Penjualan"" pada form service. User dapat mencari nomor nota, dan sistem otomatis mengisi data pelanggan (Nama, HP, Alamat) tanpa mengetik ulang."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Pencetakan Dokumen (Print Views),"Pemisahan Dokumen: Memisahkan ""Cetak Invoice"" (Tanda Terima untuk customer) dan ""Cetak Checklist"" (Lembar kerja teknisi/detail)."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Pencetakan Dokumen (Print Views),"Cetak Checklist: Layout khusus A4 yang menampilkan seluruh detail item yang dicentang (Apps, Game, Kondisi fisik) dengan tampilan grid yang rapi."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Perbaikan UI/UX,"Grouped Actions: Mengelompokkan tombol aksi tabel (View, Edit, Print) ke dalam satu menu dropdown (Menu) agar tampilan tabel lebih ringkas."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Perbaikan UI/UX,Custom Saving Logic: Mengimplementasikan logika penyimpanan relasi many-to-many kustom pada `Create` dan `Edit` page untuk menangani form dinamis.
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Cetak Invoice Service,"Membuat tampilan cetak (print view) yang rapi ala invoice untuk `PenjadwalanService`, lengkap dengan informasi dinamis perusahaan (Haen Komputer)."
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Cetak Invoice Service,"Menghapus kolom harga/subtotal untuk menyederhanakan tampilan (hanya perangkat & layanan), serta menyelaraskan teks ""Nama Perangkat"" ke kiri."
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Cetak Invoice Service,Menambahkan tombol aksi cetak praktis pada halaman *List* dan *View* service.
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Perbaikan Bug & Environment,Mengatasi error `stty: invalid argument` saat menjalankan `php artisan shield:generate` dengan menambahkan flag `--panel=admin`. Gunakan php `artisan shield:generate --minimal --panel=admin`.
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Perbaikan Bug & Environment,Memperbaiki error `SvgNotFound` pada Filament Shield yang disebabkan oleh isu *case-sensitivity* pada Linux (`APP_LOCALE=ID` vs folder `id`).
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Perbaikan Bug & Environment,"Menambahkan konfigurasi ketahanan (`resilience`) pada `config/app.php` untuk otomatis memaksa locale menjadi lowercase, sehingga memperbaiki error translasi global (dashboard, media manager)."
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Lokalisasi,Menambahkan file translasi Bahasa Indonesia manual untuk Filament Media Manager guna memperbaiki tampilan menu yang sebelumnya menampilkan kode raw (`Filament-media-manager::messages...`).
2026.01.07,Fitur Cetak Service & Perbaikan Sistem,Lokalisasi,"Mengubah grup navigasi Shield/Peran dari ""Pelindung"" menjadi ""Master Data"" melalui penyesuaian file translasi."
2026.01.06,Perbaikan Fitur Database Backup & Restore,,"Memperbaiki bug upload file database backup berukuran besar (>2MB) yang menyebabkan error ""Upload gagal""."
2026.01.06,Perbaikan Fitur Database Backup & Restore,,"Menambahkan server-router.php untuk menangani static files (CSS, JS, gambar) pada development server dengan benar."
2026.01.06,Perbaikan Fitur Database Backup & Restore,,Memperbarui ServeWithLink.php untuk menggunakan PHP built-in server dengan konfigurasi upload yang lebih besar:
2026.01.06,Perbaikan Fitur Database Backup & Restore,,`upload_max_filesize = 128M`
2026.01.06,Perbaikan Fitur Database Backup & Restore,,`post_max_size = 130M`
2026.01.06,Perbaikan Fitur Database Backup & Restore,,`memory_limit = 512M`
2026.01.06,Perbaikan Fitur Database Backup & Restore,,`max_execution_time = 300s`
2026.01.06,Perbaikan Fitur Database Backup & Restore,,`max_input_time = 300s`
2026.01.06,Perbaikan Fitur Database Backup & Restore,,Memperbarui config/livewire.php: meningkatkan `max_upload_time` dari 5 menit menjadi 30 menit untuk mendukung upload file besar.
2026.01.06,Perbaikan Fitur Database Backup & Restore,,Menambahkan public/.user.ini untuk konfigurasi PHP upload pada development server lokal.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),,Migrasi Database: Memindahkan database aplikasi dari container Docker MySQL ke layanan MariaDB aaPanel host untuk menghemat memori (~400MB) dan menyatukan manajemen database.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Standarisasi Environment,"Memperbarui `docker-compose.yml` dengan `profiles: [""local""]` agar file yang sama dapat digunakan untuk development (dengan DB container) dan production (tanpa DB container)."
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Standarisasi Environment,"Menambahkan script automatisasi deployment `deploy.sh` yang menangani pull code, build container, migrasi database, dan pembersihan cache secara aman."
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Koneksi Redis/Cache,Mengubah driver cache dari `database` ke `file` pada `.env` untuk mencegah error koneksi jaringan saat proses deployment/booting awal container.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Keamanan & Kompatibilitas,"Menambahkan middleware autentikasi (`web`, `auth`) pada upload file Livewire untuk mencegah error 401 saat impor database."
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Keamanan & Kompatibilitas,Menghapus opsi `--skip-ssl` yang tidak didukung pada perintah backup/restore database untuk kompatibilitas dengan MariaDB client terbaru.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Keamanan & Kompatibilitas,Konfigurasi Firewall: Menambahkan aturan firewall (iptables & ufw) untuk mengizinkan komunikasi aman antara Docker container dan MariaDB host.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Keamanan & Kompatibilitas,Fixed (Prioritas): Mengatasi 500 Error pada pembuatan `Pembelian` (Error `Grid::isContained`) dengan memperbarui paket Filament ke `v3.3.46` dan menambahkan langkah `composer install` pada `deploy.sh` untuk memastikan sinkronisasi library.
2026.01.06,Migrasi Infrastruktur Database & Perbaikan Bug (New),Perbaikan Keamanan & Kompatibilitas,Menghapus view publish yang usang `resources/views/vendor/filament/components/loading-section.blade.php` yang menyebabkan konflik.
2026.01.06,Perbaikan Stabilitas & Coding (Update Terlupakan),,"WebpUpload: Menambahkan *failsafe mechanism* dan logging. Jika konversi gambar ke WebP gagal, sistem otomatis menggunakan file asli (fallback) agar upload tidak gagal total."
2026.01.06,Perbaikan Stabilitas & Coding (Update Terlupakan),,JadwalKalenderWidget: Memperbaiki query event dengan menambahkan `user_id` (select) untuk memastikan validasi kepemilikan data berjalan benar.
2026.01.06,Konfigurasi Docker untuk Production,,Memperbarui Dockerfile:
2026.01.06,Konfigurasi Docker untuk Production,,Menambahkan paket `default-mysql-client` untuk mengaktifkan perintah `mysqldump` dan `mysql` yang dibutuhkan fitur export/import database.
2026.01.06,Konfigurasi Docker untuk Production,,Menambahkan konfigurasi PHP upload (128M) dan timeout (300s) melalui `/usr/local/etc/php/conf.d/uploads.ini`.
2026.01.06,Konfigurasi Docker untuk Production,,Memperbarui docker/nginx/conf.d/app.conf:
2026.01.06,Konfigurasi Docker untuk Production,,Meningkatkan `client_max_body_size` dari 100M menjadi 128M.
2026.01.06,Konfigurasi Docker untuk Production,,"Menambahkan pengaturan timeout untuk upload file besar: `client_body_timeout`, `send_timeout`, `proxy_read_timeout` (300s)."
2026.01.06,Konfigurasi Docker untuk Production,,Menambahkan `fastcgi_read_timeout` dan `fastcgi_send_timeout` (300s) untuk operasi yang berjalan lama.
2025.12.28,,,"Menambahkan Kode Akun default (11, 12, 21, 22, 31, 41, 51, 52, 61, 71, 81) melalui seeder baru dan mengaitkannya ke `DatabaseSeeder` agar otomatis tersedia saat deploy/seed."
2025.12.28,,,"Menyempurnakan Laba Rugi Detail: baris Beban Usaha kini diambil dari Jenis Akun dengan kode akun 51/52/61/81 dan baris Pendapatan Lainâ€‘lain dari kode akun 41/71, termasuk pengurutan dan perhitungan total per jenis akun."
2025.12.28,,,"Menyaring baris Beban Usaha agar hanya menampilkan nominal yang terisi (total 0 disembunyikan), serta menampilkan label berdasarkan nama_jenis_akun tanpa prefix kode."
2025.12.28,,,"Menambahkan aksi Export berbentuk dropdown tunggal pada halaman detail laba rugi untuk CSV/XLSX/PDF, berikut template PDF khusus yang menyamai tampilan infolist."
2025.12.28,,,"Menyesuaikan tampilan infolist laba rugi: format angka negatif menggunakan tanda minus, dan menambahkan jarak atas 10px pada baris judul tebal (kecuali Pendapatan)."
2025.12.28,,,Menambahkan ikon pada tab Bulanan/Detail dan memastikan tab aktif tidak tersangkut ketika kembali dari detail ke list.
2025.12.28,,,Menambahkan badge Kategori Akun pada tabel Jenis Akun dengan label dan warna mengikuti enum.
2025.12.27,,,Tidak ada perubahan terkomit di git pada tanggal ini.
2025.12.26,,,Tidak ada perubahan terkomit di git pada tanggal ini.
2025.12.25,,,"Menambahkan Laporan Neraca lengkap (resource, list/view pages, model, migrasi kolom `kelompok_neraca`, dan enum KelompokNeraca)."
2025.12.25,,,Menambahkan field Kelompok Neraca pada Kode Akun serta penyesuaian logika filter/komposisi laporan neraca berdasarkan kategori akun.
2025.12.25,,,Menyusun tampilan infolist Neraca (template tabel + layout) dan mendaftarkan resource neraca pada panel akunting.
2025.12.25,,,"Menambahkan pengujian InventoryResource (render list, filter inventaris aktif, serta kalkulasi snapshot)."
2025.12.25,,,Menambahkan bagian Catatan Testing di `README_PEST` untuk setup dan tips debugging.
2025.12.24,,,Memoles tampilan Laporan Absensi: penyesuaian ikon jam hadir/keluar dengan warna status dan penegasan nama karyawan pada tabel.
2025.12.24,,,"Menyempurnakan Lembur dan Laporan Absensi: ikon kolom informatif, dropdown action, lokalisasi tanggal Indonesia, serta ringkasan kehadiran berbentuk badge berwarna dengan ikon."
2025.12.24,,,"Mengubah Absensi ke tampilan detail Slide-over dua kolom, merapikan wizard form, dan memastikan seluruh format tanggal berbahasa Indonesia."
2025.12.24,,,"Merombak Stock Adjustment: layout 3 kolom, repeater inline, serta perbaikan bug pada field `created_at` dan konflik tipe `Action`."
2025.12.23,,,Menambahkan integrasi PWA (laravel-pwa) beserta ikon/splash screen dan `serviceworker.js` untuk cache dasar.
2025.12.23,,,"Memperluas modul Laba Rugi dan Input Transaksi Toko (filter tab, detail infolist, dan penyesuaian perhitungan subtotal)."
2025.12.23,,,"Menambahkan/menyelaraskan komponen tampilan untuk Beban, Pembelian, dan Penjualan pada laporan (infolist & livewire table), termasuk perbaikan format tampilan item."
2025.12.23,,,Menyempurnakan tampilan Penjualan (items & jasa) serta relasi tampilan laporan agar konsisten di halaman view.
2025.12.23,,,"Memperhalus UI Request Order, Stock Opname, dan widget dashboard (Active Members, Recent Transactions, Top Selling Products)."
2024.12.20,,,Menginisialisasi berkas `changelog.md`.
2024.12.20,,,Menambahkan relation manager pada resource Jasa.
2024.12.19,,,Menyempurnakan UI/UX header tabs.
2024.12.18,,,Memperbaiki logika perhitungan laporan absensi (telat/jam hadir).
2024.12.17,,,Menambahkan tombol Create dengan ikon plus pada header list view.
2024.12.16,,,Mengoptimasi resource-panel pasca migrasi dan memperbaiki bug minor pasca merge.
2024.12.16,,,Menstabilkan widget absensi.
2024.12.15,,,Memperbaiki widget kalkulasi penyesuaian stok.
2024.12.15,,,Mengintegrasikan pembaruan besar dari branch Laporan-Cuti dan menyinkronkan branch Keuangan ke main.
2024.12.15,,,Menambahkan Modal Helper View.
2024.12.14,,,Menyelesaikan merge branch keuangan dan menyelesaikan konflik.
2024.12.14,,,Menyesuaikan format ekspor akuntansi.
2025.12.23,,,"Menambahkan ringkasan Laporan Laba Rugi: total penjualan (pendapatan) dan laba kotor (pendapatan - HPP), serta memperbarui judul halaman view agar menampilkan bulan laporan."
2025.12.23,,,"Menyelaraskan perhitungan Laporan Laba Rugi: total penjualan kini mencakup penjualan produk + jasa, laba kotor/laba rugi dihitung dari total gabungan, serta memastikan bulan dengan penjualan jasa saja tetap muncul."
2025.12.23,,,Memperbaiki daftar tahun pada filter Laporan Laba Rugi agar mencakup tahun yang hanya memiliki data penjualan.
2025.12.23,,,"Menambahkan pagination Livewire (25 baris per halaman) pada tabel daftar penjualan, beban, dan pembelian; total pada bagian bawah kini dihitung untuk seluruh bulan, bukan hanya halaman aktif."
2025.12.23,,,Menormalkan logika Daftar Beban agar data beban konsisten antara tabel dan agregasi bulanan dengan mengacu ke kategori transaksi atau kategori akun terkait.
2025.12.23,,,Menonaktifkan widget TopExpensesTable pada Laporan Input Transaksi tanpa menghapus kodenya.
2025.12.23,,,"Menambahkan filter rentang waktu pada daftar Input Transaksi Toko (1m/3m/6m/1y/custom) dan tab header kategori (Aktiva, Pasiva, Pendapatan, Beban, Semua)."
2025.12.22,,,Mengotomatisasi kategori transaksi di Input Transaksi Toko berdasarkan Kode/Jenis Akun agar konsisten dengan klasifikasi akun.
2025.12.22,,,"Menjadikan Kode Akun dan Jenis Akun sebagai submenu dari Input Transaksi Toko, termasuk perbaikan breadcrumb/heading di halaman list."
2025.12.22,,,Memperbaiki aksi `view/edit` pada beberapa resource akunting agar navigasi tidak lagi memicu error `GET livewire/update`.
2025.12.22,,,Menyesuaikan breadcrumb Pengaturan Akunting agar mengarah ke AppDashboard.
2025.12.22,,,"Menyempurnakan tampilan dark mode untuk infolist Detail Beban, Produk Pembelian, dan Produk Terjual (hover, border/divider, header), plus penegasan garis pemisah via override CSS."
2025.12.22,,,Meningkatkan keterbacaan label total pada dark mode di tab laba rugi.
2025.12.21,,,Tidak ada perubahan terkomit di git pada tanggal ini.
2025.12.20,,,"Menambahkan modul laporan laba rugi (resource Filament, halaman list/view, model, dan migrasi tabel)."
2025.12.20,,,Menambahkan aset CSS/JS laporan (filament-reports) beserta dependensi pendukungnya.
2025.12.20,,,Menambahkan dokumen PLUGIN.md untuk daftar plugin pihak ketiga.
2025.12.20,,,Menyesuaikan alur redirect login/halaman utama agar memakai route AppDashboard per panel.
2025.12.20,,,*Merge* dengan branch `main`.
2025.12.19,,,Menyelaraskan ikon widget tabel ke Hugeicons dan memperbaiki nama ikon yang salah.
2025.12.19,,,Mengaktifkan tampilan ikon/deskripsi pada ServiceWidget dengan Advanced Table Widget.
2025.12.19,,,Menambahkan dukungan `infolist` untuk aksi `view` pada widget Service dan Tugas (termasuk impor class yang dibutuhkan).
2025.12.19,,,"Membuat widget dashboard lebih interaktif (dapat diklik) untuk navigasi ke detail pada berbagai widget statistik, tabel, cuaca, stok, dan tugas."
2025.12.19,,,Menyegarkan gaya tema admin serta komponen tabel/loader untuk mendukung widget interaktif.
2025.12.19,,,Menyesuaikan konfigurasi Tailwind dan stylesheet aplikasi/Filament agar tampilan widget konsisten.
2025.12.18,,,"Meningkatkan UX mobile untuk tabel `infolist` (scroll horizontal) dan tata letak bergaya tabel untuk daftar item Pembelian, Penjualan, dan Request Order."
2025.12.18,,,"Menambahkan `infolist` Penjualan dengan total yang dikalkulasi (*computed totals*); total sekarang dihitung ulang otomatis berdasarkan item saat `create`, `update`, atau `delete`."
2025.12.18,,,"Menambahkan modal pembuatan ""Tambah Member"" secara *inline* dari menu select member di Penjualan."
2025.12.18,,,"Menyempurnakan `repeater` form Request Order (dependensi kategori â†’ produk, *placeholders*, dan tampilan HPP/harga jual yang terisi otomatis dari harga *batch* terbaru)."
2025.12.18,,,"Memperbaiki beberapa error `500` terkait Filament (konflik import, enum/class yang tidak valid) dan memindahkan aksi `create/edit` Pembelian ke header halaman."
2025.12.18,,,Memindahkan aksi `create` & `edit` Stock Adjustment / Stock Opname ke header halaman (menghapus tombol aksi di bawah form) dan meningkatkan alur `create` Stock Adjustment agar redirect ke halaman edit untuk penambahan item.
2025.12.16,,,Menambahkan `infolist` Pembelian untuk catatan pembelian (*purchase records*).
2025.12.16,,,Memperbaiki kompatibilitas pemformatan kolom `filament-export`.
2025.12.16,,,Memperbaiki label jamak (*plural labels*) dan teks tombol tambah; memperbaiki widget absensi dan bug minor lainnya.
2025.12.15,,,Menambahkan konfigurasi Docker dan penyesuaian port MySQL.
2025.12.15,,,Memperkenalkan dukungan `view helper` untuk modal.
2025.12.15,,,"Memperbaiki widget (termasuk stock adjustment), unduhan `infolist`, tombol ekspor, label jamak, dan *wiring* panel provider."
2025.12.15,,,Menggabungkan (*merge*) branch Keuangan dan Laporan-Cuti yang sedang berjalan.
2025.12.14,,,Memperbaiki pemformatan ekspor akuntansi dan *merge* pembaruan keuangan.
2025.12.13,,,Memperbarui navigasi Finansial.
2025.12.13,,,Menambahkan alur pengajuan cuti dan perbaikan ekspor; *merge* perubahan Laporan-Cuti.
2025.12.11,,,Perbaikan minor sebelum beralih ke master data Brand; menyempurnakan penanganan *return* pada master data.
2025.12.11,,,Melanjutkan pengerjaan laporan keuangan.
2025.12.10,,,Memperbaiki tab pada pengaturan keuangan dan masalah pada `infolist`.
2025.12.10,,,Menangani navigasi untuk *user* dan error akses role (`403`); menstabilkan penanganan role setelah *revert*.
2025.12.09,,,Menambahkan Jenis Akun dan Kode Akun ke modul keuangan.
2025.12.09,,,"Menandai modul keuangan sebagai selesai secara fungsional, menunggu perbaikan *breadcrumb*."
2025.12.08,,,Melanjutkan pengerjaan jenis akun/kode akun untuk pengaturan keuangan.
2025.12.07,,,Membangun tampilan Dashboard dan persiapan perubahan kebijakan role (*policy*).
2025.12.07,,,Menerapkan `view policy` untuk catatan absensi aktif; memperbaiki penanganan role di widget utama dan widget terkait.
2025.12.05,,,Penyesuaian dan pemolesan UI (*Polish*).
2025.12.04,,,Memperbaiki role Filament Shield; menyempurnakan dashboard POS dan widget karyawan.
2025.12.04,,,Menambahkan widget cuaca; *merge* branch reporting.
2025.12.03,,,Menetapkan tampilan dan nuansa UI baru; menyelaraskan navigasi master data.
2025.12.03,,,*Merge* perubahan dari branch `main`.
2025.12.01,,,"Menambahkan dokumentasi dan penyesuaian tata letak (navigasi, layout adjustments hingga lembur)."
2025.12.01,,,Memperbarui gaya kolom; menyempurnakan penanganan *return* dan total pada POS.
2025.12.01,,,"Meningkatkan Navigation Bar (termasuk sidebar yang dapat digeser/*draggable*), memodernisasi navigasi, ikon, dan perbaikan minor `infolist`/produk."
2025.12.01,,,*Merge* branch POS dan Pengaturan-Navigasi.
2025.11.30,,,Memperbarui *navigation bar* dengan sidebar navigasi yang dapat digeser.
2025.11.29,,,Meningkatkan *wizard* Absensi dan logika *check-in*.
2025.11.28,,,"Menambahkan penjadwalan servis, peningkatan pengiriman, dan peningkatan POS multi-aplikasi."
2025.11.28,,,*Merge* branch POS kembali ke `main`.
2025.11.27,,,Commit persiapan sebelum *branching* untuk penjadwalan tugas (*task scheduling*); push terakhir untuk pekerjaan yang ada.
2025.11.26,,,Menghapus cache `npm` yang ikut terkomit.
2025.11.26,,,Menambahkan penanganan Lembur (*Overtime*).
2025.11.26,,,"*Merge* alur kerja inventaris, penjualan, dan pembelian dengan pembaruan absensi."
2025.11.24,,,Menambahkan fitur Absensi-Libur-Cuti dan mengurutkan ulang alasan cuti/libur.
2025.11.24,,,Meningkatkan perilaku *collapse* sidebar pada desktop.
2025.11.23,,,Menambahkan pengambilan foto (*photo capture*) untuk absensi dan tampilan `infolist` absensi.
2025.11.22,,,Upgrade ke Filament Shield untuk *roles/permissions*.
2025.11.22,,,*Merge* branch Absensi; penyesuaian stock opname; otomatis menandai alpha untuk absensi terlambat.
2025.11.21,,,Menambahkan plugin mata uang (*currency*) dan halaman Company Profile.
2025.11.21,,,"Otomatis memilih karyawan yang sedang login, waktu, dan tanggal dengan penanganan UTC+7."
2025.11.20,,,Rename modul POS; *merge* branch POS ke `main`.
2025.11.20,,,Menambahkan laporan penjualan dan pembelian; *auto-fetch* longitude/latitude.
2025.11.19,,,Menambahkan pembuatan Penjualan dan alurnya.
2025.11.19,,,Meningkatkan obrolan grup Chatify dengan daftar anggota dan avatar; menginstal media manager sebagai persiapan POS.
2025.11.18,,,Menambahkan fitur Pembelian dan Inventaris; menyesuaikan akun transaksi dan penyelarasan master data.
2025.11.18,,,Melanjutkan perbaikan inventaris dan memperkenalkan prototipe ruang obrolan (Chatify).
2025.11.16,,,Mengimplementasikan pemrosesan Akun Transaksi.
2025.11.15,,,"Menambahkan pengaturan *roles & permissions*, pendaftaran pengguna, dan halaman login/pemilihan role untuk karyawan."
2025.11.15,,,Memperkenalkan alur Request Order.
2025.11.15,,,*Merge* branch Master-Data dan Inventaris.
2025.11.14,,,"Menambahkan manajemen hubungan member, supplier, dan agen."
2025.11.14,,,Menambahkan master data Gudang dan menyatukan tata letak tabel dengan foto profil.
2025.11.14,,,Memperkenalkan fondasi *role/permission/authentication*.
2025.11.13,,,"Menyelesaikan master data inti untuk Brand, Jasa, Kategori, dan Produk."
2025.11.12,,,Menambahkan kerangka dasar (*scaffolding*) master data awal.
2025.11.11,,,Project dimulai
2025.11.11,,,"Membuat migrasi (*migrations*) untuk tabel produk, jasa, brand, dan kategori (awal proyek)."
